trip_id,service_type,distance_km,duree_h,traction,type_train,nom_operateur,pays_origine,pays_destination,trajet_domestique,frequence_semaine
OCESN12120F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:2211:20261025,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,1
OCESN12120F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:2215:20261101,Jour,395.5,1.83,,TGV inOui,SNCF,FR,FR,True,1
OCESN12120F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:2226:20261122,Jour,395.5,2.02,,TGV inOui,SNCF,FR,FR,True,1
OCESN12120F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:2214:20261129,Jour,395.5,1.82,,TGV inOui,SNCF,FR,FR,True,1
OCESN12120F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:2213:20261210,Jour,395.5,1.8,,TGV inOui,SNCF,FR,FR,True,2
OCESN12120F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:2213:20261206,Jour,395.5,1.8,,TGV inOui,SNCF,FR,FR,True,1
OCESN12122F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1001:20261031,Jour,395.5,1.72,,TGV inOui,SNCF,FR,FR,True,2
OCESN12124F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1407:20260911,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,1
OCESN12124F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1416:20260928,Jour,395.5,1.9,,TGV inOui,SNCF,FR,FR,True,1
OCESN12124F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1407:20260907,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,1
OCESN12124F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1405:20261123,Jour,395.5,1.73,,TGV inOui,SNCF,FR,FR,True,1
OCESN12124F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1406:20261206,Jour,395.5,1.73,,TGV inOui,SNCF,FR,FR,True,2
